Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Aankhein: The Third Eye,2004.0,0.0,1,7.4,15.0,1683,1901,Srikanth,0
Aankhen,1993.0,170.0,19,6.7,1898.0,630,768,Chunky Panday,Raj Babbar
Aankhen,1950.0,0.0,282,7.2,6.0,681,2092,Bharat Bhushan,Nalini Jaywant
Aankhen,2002.0,165.0,227,7.4,12574.0,3062,207,Akshay Kumar,Sushmita Sen
Aankhon Aankhon Mein,1972.0,154.0,327,6.4,28.0,1991,1736,Rakesh Roshan,Achala Sachdev
Aansoo Aur Muskan,1970.0,150.0,173,6.5,24.0,1757,810,Parikshit Sahni,Jagdeep
Aao Pyaar Karen,1964.0,0.0,327,6.2,15.0,1964,946,Saira Banu,Sanjeev Kumar
Aao Pyaar Karen,1994.0,141.0,409,4.2,160.0,2237,1926,Shilpa Shetty Kundra,Somy Ali
Aao Wish Karein,2009.0,140.0,185,5.1,584.0,844,87,Aamna Sharif,Rati Agnihotri
Aap Aye Bahaar Ayee,1971.0,119.0,180,6.6,80.0,1566,1696,Sadhana,Prem Chopra
Aap Beati,1976.0,145.0,282,5.7,32.0,1566,2083,Hema Malini,Ashok Kumar
Aap Ke Deewane,1980.0,0.0,409,5.8,204.0,2824,920,Rishi Kapoor,Tina Ambani
Aap Ke Saath,1986.0,0.0,269,5.7,49.0,1012,2166,Anil Kapoor,Rati Agnihotri
Aap Ki Kasam,1974.0,153.0,414,7.0,420.0,1012,1703,Mumtaz,Sanjeev Kumar
Aap Ki Khatir,1977.0,115.0,20,6.3,27.0,2751,2487,Rekha,Nadira
Aap Ki Khatir,2006.0,122.0,208,3.6,863.0,694,149,Priyanka Chopra Jonas,Ameesha Patel
Aap Ki Parchhaiyan,1964.0,128.0,291,6.3,39.0,1566,632,Supriya Choudhury,Vijayalaxmi
